title,price,availability,imageLink,stocksleft
Gundam Lfrith,1000,Available,/img/items//HG_Gundam_Lfrith.webp,10
Beguir-Beu,1000,Available,/img/items//HG_Beguir-Beu.webp,10
Gundam Aerial,1100,Available,/img/items//HG_Gundam_Aerial.webp,10
Guel's Dilanza,1100,Available,/img/items//HG_Guels_Dilanza.webp,10
Dilanza Standard Type/Lauda's Dilanza,1100,Available,/img/items//HG_Dilanza_Standard_Type_Laudas_Dilanza.webp,10
Chuchu's Demi Trainer,1000,Available,/img/items//HG_Chuchus_Demi_Trainer.webp,10
Demi Trainer (YOASOBI Collaboration Ver.),2500,Available,/img/items//HG_Demi_Trainer_Yoasobi_Collaboration_Ver.webp,10
Darilbalde,900,Available,/img/items//HG_Darilbalde.webp,10
Demi Trainer,900,Available,/img/items//HG_Demi_Trainer.webp,10
Gundam Pharact,1100,Available,/img/items//HG_Gundam_Pharact.webp,10
Michaelis,1000,Available,/img/items//HG_Michaelis.webp,10
Beguir-Pente,1000,Available,/img/items//HG_Beguir-Beu.webp,10
Mirasoul Flight Unit,750,Available,/img/items//HG_Mirasoul_Flight_Unit.webp,10
Zowort,900,Available,/img/items//HG_Zowort.webp,10
Tickbalang,850,Available,/img/items//HG_Tickbalang.webp,10
Heindree,100,Available,/img/items//HG_Heindree.webp,10
Gundam Lfrith Ur,900,Available,/img/items//HG_Gundam_Lfrith_Ur.webp,10
Gundam Lfrith Thorn,1100,Available,/img/items//HG_Gundam_Lfrith_Thorn.webp,10
Gundam Aerial Rebuild,1500,3Available,/img/items//HG_Gundam_Aerial_Rebuild.webp,10
Zowort Heavy,100,Available,/img/items//HG_Zowort_Heavy.webp,10
Dilanza Sol,1000,Available,/img/items//HG_Dilanza_Sol.webp,10
Heindree Sturm,800,Available,/img/items//HG_Heindree_Strum.webp,10
Demi Barding,900,Available,/img/items//HG_Demi_Barding.webp,10
Gundvölva,1000,Available,/img/items//HG_Gundvolva.webp,10
Gundam Schwarzette,1500,Available,/img/items//HG_Gundam_Schwarzette.webp,10
Gundam Calibarn,1500,Available,/img/items//HG_Gundam_Calibarn.webp,10
